English,CEFR,gender,word,wordAudio,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted
but,A1,conjunction,aber,,drückt einen Gegensatz aus,,"Ich will gehen, aber es regnet.","I want to go, but it’s raining.",
abysmal,C,adjective,abgrundtief,,sehr tief im übertragenen Sinn,,Seine abgrundtiefe Verzweiflung ließ ihn jede Hoffnung aufgeben.,His abysmal despair made him give up all hope.,
"stop, prevent",B2,verb,abhalten,,jemanden von einer Handlung fernhalten,,"Die Polizei konnte ihn davon abhalten, eine Dummheit zu begehen.",The police were able to prevent him from doing something stupid.,
expire,B1,verb,ablaufen,,zeitlich enden oder ablaufen lassen,,Der Vertrag läuft nächste Woche ab.,The contract expires next week.,
set down,B2,verb,absetzen,,etwas von einer Stelle entfernen,,"Die Partei wollte den Minister absetzen, weil er das Vertrauen verloren hatte.",The party wanted to depose the minister because he had lost trust.,
mirror,C,verb,abspiegeln,,ein Spiegelbild wiedergeben,,Die sozialen Spannungen spiegeln sich in den aktuellen Debatten deutlich ab.,The social tensions are clearly reflected in the current debates.,
academy,B2,die,Akademie,,Einrichtung für höhere Bildung,,Die Akademie bietet Stipendien für begabte Studenten an.,The academy offers scholarships for talented students.,
different,A1,adjective,anders,,nicht gleich,,Das ist anders als gestern.,That is different from yesterday.,
change,A2,die,Änderung,,etwas wird anders,,Die Änderung im Plan war nicht groß.,The change in the plan was not big.,
begin,A1,verb,anfangen,,etwas beginnen,,Wir fangen um acht Uhr an.,We start at eight o’clock.,
apple,A1,der,Apfel,,"runde Frucht, oft rot oder grün",,Der Apfel ist rot.,The apple is red.,
work,A1,die,Arbeit,,"Tätigkeit, die man für Geld macht",,Die Arbeit ist schwer.,The work is hard.,
work,A1,verb,arbeiten,,eine Tätigkeit ausführen,,Ich arbeite in Berlin.,I work in Berlin.,
argue,B2,verb,argumentieren,,mit Gründen eine Meinung vertreten,,"Er versuchte stundenlang zu argumentieren, doch niemand ließ sich überzeugen.","He tried to argue for hours, but no one let themselves be convinced.",
ass,B2,der,Arsch,,unterer Teil des Körpers zum Sitzen,,Er benahm sich wie ein Arsch und beleidigte alle im Raum.,He behaved like an asshole and insulted everyone in the room.,
"kind, type",A2,die,Art,,Gruppe mit gemeinsamen Eigenschaften,,Diese Art von Musik gefällt mir.,This kind of music pleases me.,
"also, too",A1,adverb,auch,,ebenfalls,,Ich habe auch ein Auto.,I also have a car.,
on,A1,preposition,auf,,zeigt eine Position an,,Das Buch liegt auf dem Tisch.,The book is on the table.,
"task, aim, goal",A2,die,Aufgabe,,"etwas, das man tun muss",,"Die Aufgabe war schwer, aber interessant.",The task was difficult but interesting.,
eye,A1,das,Auge,,Organ zum Sehen,,Mein Auge tut weh.,My eye hurts.,
from,A1,preposition,aus,,zeigt Herkunft an,,Ich komme aus Deutschland.,I come from Germany.,
expression,B1,der,Ausdruck,,gesprochene oder geschriebene Form einer Idee,,Sein Gesicht zeigte einen ernsten Ausdruck.,His face showed a serious expression.,
"stand, put up with",B2,verb,aushalten,,Schwierigkeit aushalten,,"Man muss viel aushalten, wenn man in dieser Branche arbeitet.",One has to endure a lot when working in this industry.,
car,A1,das,Auto,,Fahrzeug mit vier Rädern,,Das Auto ist neu.,The car is new.,
bank,A2,die,Bank,,Ort für Geld oder zum Sitzen,,Ich bringe das Geld zur Bank.,I’m taking the money to the bank.,
construction,B1,der,Bau,,Errichtung eines Gebäudes,,Der Bau der neuen Brücke dauert zwei Jahre.,The construction of the new bridge takes two years.,
build,A1,verb,bauen,,etwas errichten,,Wir bauen ein Haus.,We are building a house.,
tree,A1,der,Baum,,große Pflanze mit Stamm und Blättern,,Der Baum ist grün.,The tree is green.,
example,A2,das,Beispiel,,konkreter Fall zur Erklärung,,Das ist ein gutes Beispiel für Teamarbeit.,That is a good example of teamwork.,
known,A2,adjective,bekannt,,von vielen Menschen gewusst,,Sie ist in unserer Stadt sehr bekannt.,She is very well known in our city.,
familiarity,B2,die,Bekanntschaft,,persönlicher Kontakt zu jemandem,,Durch eine alte Bekanntschaft fand er schließlich eine neue Stelle.,Through an old acquaintance he finally found a new job.,
better,A1,adjective,besser,,mehr gut,,Das ist besser so.,That is better that way.,
spectator,B2,der,Betrachter,,"Person, die etwas betrachtet",,Der Betrachter des Bildes spürt sofort die Traurigkeit der Szene.,The observer of the painting immediately feels the sadness of the scene.,
movement,B1,die,Bewegung,,Fortbewegung von Menschen oder Dingen,,Die Bewegung für mehr Umweltschutz wächst schnell.,The movement for more environmental protection is growing quickly.,
beer,A1,das,Bier,,Getränk aus Hopfen,,Das Bier ist kalt.,The beer is cold.,
blue,A1,adjective,blau,,Farbe des Himmels,,Der Himmel ist blau.,The sky is blue.,
boat,A1,das,Boot,,kleines Schiff,,Das Boot ist klein.,The boat is small.,
need,A1,verb,brauchen,,etwas notwendig haben,,Ich brauche Hilfe.,I need help.,
brew,B2,verb,brauen,,herstellen von Bier,,In dieser kleinen Brauerei brauen sie Bier nach traditioneller Art.,In this small brewery they brew beer in the traditional way.,
eyeglasses,A1,die,Brille,,Hilfsmittel zum besseren Sehen,,Die Brille ist teuer.,The glasses are expensive.,
bring,A1,verb,bringen,,etwas an einen Ort tragen,,Er bringt die Tasche.,He brings the bag.,
bread,A1,das,Brot,,gebackenes Nahrungsmittel,,Das Brot ist frisch.,The bread is fresh.,
book,A1,das,Buch,,Sammlung von geschriebenen Seiten,,Das Buch ist interessant.,The book is interesting.,
chance,A2,die,Chance,,gute Möglichkeit,,Er hat eine Chance auf den neuen Job.,He has a chance at the new job.,
democracy,B2,die,Demokratie,,Staatsform mit Beteiligung der Bürger,,Die Demokratie lebt von freier Meinungsäußerung und Wahlen.,Democracy lives on free expression of opinion and elections.,
German,A1,adjective,deutsch,,aus diesem Land stammend,,Mein Freund ist deutsch.,My friend is German.,
Germany,A1,das,Deutschland,,Land in Europa,,Deutschland ist groß.,Germany is big.,
thing,A2,das,Ding,,Gegenstand oder Sache,,Dieses Ding gehört nicht mir.,This thing doesn’t belong to me.,
three,A1,numeral,drei,,Zahl nach zwei,,Ich habe drei Äpfel.,I have three apples.,
you,A1,pronoun,du,,zweite Person Singular,,Du bist mein Freund.,You are my friend.,
stupid,A1,adjective,dumm,,nicht klug,,Das ist dumm.,That is stupid.,
shower,A1,die,Dusche,,Ort zum Waschen mit Wasserstrahl,,Die Dusche ist kaputt.,The shower is broken.,
egg,A1,das,Ei,,Produkt von Huhn,,Das Ei ist weiß.,The egg is white.,
a,A1,numeral,ein,,unbestimmter Artikel,,Ich habe ein Haus.,I have a house.,
simple,A1,adjective,einfach,,nicht schwer,,Das ist einfach.,That is simple.,
one,A1,numeral,eins,,Zahl nach null,,Eins ist genug.,One is enough.,
sensation,B2,die,Empfindung,,körperliche oder seelische Wahrnehmung,,Eine tiefe Empfindung von Freude überkam sie in diesem Moment.,A deep feeling of joy overcame her at that moment.,
horrify,B2,verb,entsetzen,,stark erschrecken,,Die Nachricht konnte die ganze Stadt entsetzen.,The news could horrify the whole city.,
horrifying,B2,adjective,entsetzlich,,sehr furchtbar,,Die Bedingungen in dem Lager waren entsetzlich schlecht.,The conditions in the camp were terribly bad.,
he,A1,pronoun,er,,männliche Person,,Er kommt morgen.,He is coming tomorrow.,
experience,B1,verb,erfahren,,Wissen oder Erfahrung bekommen,,Ich habe durch einen Freund von dem Projekt erfahren.,I learned about the project through a friend.,
explain,A2,verb,erklären,,etwas verständlich machen,,Der Lehrer erklärt die Grammatik.,The teacher explains the grammar.,
