titleGerman,titleEnglish,genre,CEFR,german,english
Neue Vokabeln lernen,Learning New Vocabulary,monologue,A1,"Ich lerne jeden Tag neue Wörter. Ich schreibe die Wörter in ein Heft. Ich lese die Wörter laut. Ich wiederhole sie oft. Manchmal male ich kleine Bilder. Das hilft mir. Ich mache auch Karten mit einem Wort und einer Übersetzung. Ich frage meine Freunde nach neuen Wörtern. Im Bus oder im Park lese ich die Karten. Wenn ich ein Wort vergesse, lese ich es noch einmal. Langsam kenne ich mehr Wörter. Das macht mir Freude.","I learn new words every day. I write the words in a notebook. I read the words aloud. I repeat them often. Sometimes I draw little pictures. That helps me. I also make cards with a word and a translation. I ask my friends for new words. On the bus or in the park, I read the cards. If I forget a word, I read it again. I'm slowly learning more words. I enjoy that."
Mein Zimmer aufräumen,Cleaning My Room,monologue,A1,"Mein Zimmer ist heute sehr unordentlich. Auf dem Tisch liegen viele Bücher. Die Kleidung liegt auf dem Stuhl. Das Bett ist nicht gemacht. Ich nehme die Kleidung und lege sie in den Schrank. Dann mache ich das Bett. Ich hole den Staubsauger und sauge den Boden. Danach wische ich den Tisch. Jetzt ist das Zimmer sauber. Ich bin müde, aber zufrieden.","My room is very messy today. There are many books on the table. Clothes are lying on the chair. The bed isn't made. I pick up the clothes and put them in the closet. Then I make the bed. I get the vacuum cleaner and vacuum the floor. After that, I wipe down the table. Now the room is clean. I'm tired, but happy."
Kekse backen,Baking Cookies,monologue,A1,"Ich backe heute Kekse. Ich gehe in die Küche. Ich nehme Mehl, Zucker und Eier. Ich habe auch Butter und Schokolade. Ich mische alles in einer Schüssel. Der Teig ist weich. Ich mache kleine Kugeln. Ich lege sie auf ein Blech. Der Ofen ist heiß. Die Kekse backen zehn Minuten. Sie sind braun und riechen gut. Ich nehme die Kekse aus dem Ofen. Jetzt esse ich einen Keks. Er schmeckt süß. Ich bin glücklich.","I'm baking cookies today. I go to the kitchen. I take flour, sugar, and eggs. I also have butter and chocolate. I mix everything in a bowl. The dough is soft. I make small balls. I put them on a baking sheet. The oven is hot. The cookies bake for ten minutes. They are brown and smell good. I take the cookies out of the oven. Now I eat a cookie. It tastes sweet. I am happy."
Meine Lieblingsstadt,My Favorite City,monologue,A1,,
Ein Tag im Freizeitpark,A Day at an Amusement Park,monologue,A1,"Heute gehe ich in den Freizeitpark. Ich bin sehr froh. Zuerst kaufe ich ein Ticket. Dann gehe ich durch das Tor. Ich sehe viele Leute. Kinder lachen. Musik spielt. Der Park ist bunt. Ich fahre mit dem Riesenrad. Von oben sehe ich die ganze Stadt. Es ist schön. Danach gehe ich auf die Achterbahn. Sie ist schnell, und ich schreie laut. Ich esse eine Wurst und trinke Wasser. Später kaufe ich ein Eis. Es ist lecker. Am Abend sehe ich ein Feuerwerk. Der Himmel ist rot und blau. Es ist wunderbar. Dann gehe ich müde nach Hause. Der Tag war sehr gut.","Today I'm going to the amusement park. I'm so happy! First, I buy a ticket. Then I go through the gate. I see lots of people. Children are laughing. Music is playing. The park is colorful. I ride the Ferris wheel. From up there, I can see the whole city. It's beautiful. After that, I go on the roller coaster. It's fast, and I scream loudly. I eat a hot dog and drink some water. Later, I buy an ice cream. It tastes delicious. In the evening, I watch a fireworks display. The sky is red and blue. It's wonderful. Then, tired but happy, I go home. It was a great day!"
Ein Tag im Zoo,A Day at the Zoo,monologue,A1,,
Ein Tag auf dem Land,A Day in the Countryside,monologue,A1,,
Nach dem Weg fragen,Asking for Directions,dialogue,A1,,
Hilfe am Flughafen anfragen,Asking for Help at the Airport,dialogue,A1,,
Nach WLAN fragen,Asking for Wi-Fi Access,dialogue,A1,,
Beim Zahnarzt,At the Dentist,dialogue,A1,,
Ein Hotelzimmer buchen,Booking a Hotel Room,dialogue,A1,,
Im Hotel einchecken,Checking into a Hotel,dialogue,A1,,
Costa del Sol,Costa del Sol,travel,A1,,
Gefahren sozialer Medien,Dangerous Aspects of Social Media,technology,A1,,
Oasen in der Wüste,Desert Oases,science,A1,,
Über eine Allergie sprechen,Discussing an Allergy,dialogue,A1,,
Haben Tiere eine Persönlichkeit?,Do Animals Have Personalities?,psychology,A1,,
Erdbeben,Earthquakes,science,A1,,
